6.709, -0.028, -0.016, -847, 0
6.780, -0.058, 0.003, -842, 0
6.792, -0.026, 0.020, -830, 0
6.817, -0.136, -0.002, -818, 0
6.791, 0.154, -0.029, -811, 0
6.802, -0.093, 0.090, -800, 0
6.817, -0.137, -0.029, -788, 0
6.787, -0.023, -0.015, -782, 0
6.810, -0.005, -0.000, -769, 0
6.808, 0.027, 0.017, -759, 0
6.785, -0.036, 0.011, -751, 0
6.836, -0.007, -0.003, -735, 0
6.836, -0.048, 0.019, -725, 0
6.814, -0.023, 0.053, -717, 0
6.807, -0.013, 0.011, -707, 0
6.800, -0.042, -0.023, -697, 0
6.803, -0.069, 0.016, -684, 0
6.784, -0.011, -0.023, -677, 0
6.800, 0.021, 0.013, -664, 0
6.805, -0.017, -0.015, -653, 0
6.826, 0.053, -0.024, -640, 0
6.809, 0.004, 0.000, -630, 0
6.795, -0.335, 0.038, -620, 0
6.816, 0.005, -0.015, -607, 0
6.796, -0.225, -0.041, -598, 0
6.805, -0.005, 0.016, -586, 0
6.836, -0.033, -0.019, -572, 0
6.815, 0.203, -0.038, -562, 0
6.823, 0.099, -0.093, -549, 0
6.832, -0.111, 0.017, -537, 0
6.801, -0.021, -0.025, -528, 0
6.814, 0.028, -0.003, -515, 0
6.794, 0.148, 0.029, -505, 0
6.798, -0.032, 0.007, -490, 0
6.809, -0.004, 0.006, -480, 0
6.809, 0.047, -0.015, -468, 0
6.799, -0.004, 0.016, -456, 0
6.798, 0.031, 0.010, -444, 0
6.827, 0.075, -0.002, -430, 0
6.802, 0.001, -0.011, -420, 0
6.802, -0.234, -0.002, -407, 0
6.822, 0.029, -0.035, -394, 0
6.808, 0.000, -0.014, -383, 0
6.829, -0.020, 0.050, -369, 0
6.823, -0.012, -0.002, -357, 0
6.835, -0.006, -0.009, -344, 0
6.853, -0.059, -0.005, -331, 0
6.815, -0.015, 0.000, -319, 0
6.826, 0.059, 0.093, -307, 0
6.808, 0.010, 0.018, -294, 0
6.837, 0.009, -0.017, -281, 0
6.852, -0.006, 0.024, -268, 0
6.798, 0.002, 0.002, -256, 0
6.835, 0.065, -0.020, -243, 0
6.854, -0.000, -0.025, -230, 0
6.832, 0.017, -0.063, -218, 0
6.827, -0.008, -0.054, -206, 0
6.805, -0.030, -0.002, -192, 0
6.833, 0.026, -0.019, -180, 0
6.841, 0.023, -0.023, -167, 0
6.818, 0.032, 0.012, -155, 0
